Movie,Year,IMDb,Rating,Runtime,Genre
Little Fockers,2010,5.5,PG-13,98,"Comedy, Romance"
Hotel Transylvania,2012,7.0,PG,91,"Animation, Adventure, Comedy"
Talladega Nights: The Ballad of Ricky Bobby,2006,6.6,PG-13,108,"Comedy, Sport"
Gran Torino,2008,8.1,R,116,Drama
Lethal Weapon 2,1989,7.2,R,114,"Action, Crime, Thriller"
War for the Planet of the Apes,2017,7.4,PG-13,140,"Action, Adventure, Drama"
X: First Class,2011,7.7,PG-13,131,"Action, Adventure, Sci-Fi"
True Lies,1994,7.3,R,141,"Action, Comedy, Thriller"
Lilo & Stitch,2002,7.3,PG,85,"Animation, Adventure, Comedy"
American Pie 2,2001,6.4,R,108,Comedy
Taken,2008,7.8,PG-13,90,"Action, Crime, Thriller"
The Great Gatsby,2013,7.2,PG-13,143,"Drama, Romance"
